Nombre, Numero, Fecha, Pp, T_Max, T_Min, T_Med, VV_Max, VV, DWW, DV, Rag_G, HR, ET, EP 
CEPAB 2,396,2011-12-10,<null>,<null>,<null>,<null>,<null>,<null>,0 NE,<null> N,<null>,<null>,<null>,<null>,
CEPAB 2,396,2011-12-11,<null>,<null>,<null>,<null>,<null>,<null>,0 NE,<null> N,<null>,<null>,<null>,<null>,
CEPAB 2,396,2011-12-12,<null>,<null>,<null>,<null>,<null>,<null>,0 NE,<null> N,<null>,<null>,<null>,<null>,
CEPAB 2,396,2011-12-13,0,<null>,<null>,<null>,0,0,318.6 NO,321.4 NO,<null>,<null>,<null>,<null>,
CEPAB 2,396,2011-12-14,0,<null>,<null>,<null>,0,0,318.9 NO,321 NO,<null>,<null>,<null>,<null>,
CEPAB 2,396,2011-12-15,0,<null>,<null>,<null>,0,0,325.5 NO,323.4 NO,<null>,<null>,<null>,<null>,
CEPAB 2,396,2011-12-16,0,<null>,<null>,<null>,0,0,325.5 NO,323.5 NO,<null>,<null>,<null>,<null>,
CEPAB 2,396,2011-12-17,0,<null>,<null>,<null>,0,0,313.9 O,313.9 O,<null>,7.9,<null>,<null>,
CEPAB 2,396,2011-12-18,0,<null>,<null>,<null>,0,0,302.1 O,300.2 O,<null>,21.24,<null>,<null>,
CEPAB 2,396,2011-12-19,0,<null>,<null>,<null>,0,0,316.7 NO,325.6 NO,<null>,<null>,<null>,<null>,
CEPAB 2,396,2011-12-20,0,<null>,<null>,<null>,0,0,316.1 NO,322 NO,<null>,<null>,<null>,<null>,
CEPAB 2,396,2011-12-21,0,<null>,<null>,<null>,0,0,328.6 NO,324.6 NO,<null>,4.64,<null>,<null>,
CEPAB 2,396,2011-12-22,0,<null>,<null>,<null>,0,0,335.1 NO,320.4 NO,<null>,7.89,<null>,<null>,
CEPAB 2,396,2011-12-23,0,<null>,<null>,<null>,0,0,325.5 NO,325.5 NO,<null>,<null>,<null>,<null>,
CEPAB 2,396,2011-12-24,0,<null>,<null>,<null>,0,0,323.8 NO,324.3 NO,<null>,<null>,<null>,<null>,
