Numero, Fecha, Pp, T_Max, T_Min, T_Med, VV_Max, VV, DWW, DV, Rag_G, HR, ET, EP 
396,2011-12-10,<null>,<null>,<null>,<null>,<null>,<null>,0.00 N, NE,<null>,<null>,<null>,<null>,
396,2011-12-11,<null>,<null>,<null>,<null>,<null>,<null>,0.00 N, NE,<null>,<null>,<null>,<null>,
396,2011-12-12,<null>,<null>,<null>,<null>,<null>,<null>,0.00 N, NE,<null>,<null>,<null>,<null>,
396,2011-12-13,0,<null>,<null>,<null>,0,0,318.60 NO,321.40 NO,<null>,<null>,<null>,<null>,
396,2011-12-14,0,<null>,<null>,<null>,0,0,318.90 NO,321.00 NO,<null>,<null>,<null>,<null>,
396,2011-12-15,0,<null>,<null>,<null>,0,0,325.50 NO,323.40 NO,<null>,<null>,<null>,<null>,
396,2011-12-16,0,<null>,<null>,<null>,0,0,325.50 NO,323.50 NO,<null>,<null>,<null>,<null>,
396,2011-12-17,0,<null>,<null>,<null>,0,0,313.90 O,313.90 O,<null>,7.9,<null>,<null>,
396,2011-12-18,0,<null>,<null>,<null>,0,0,302.10 O,300.20 O,<null>,21.24,<null>,<null>,
396,2011-12-19,0,<null>,<null>,<null>,0,0,316.70 NO,325.60 NO,<null>,<null>,<null>,<null>,
396,2011-12-20,0,<null>,<null>,<null>,0,0,316.10 NO,322.00 NO,<null>,<null>,<null>,<null>,
396,2011-12-21,0,<null>,<null>,<null>,0,0,328.60 NO,324.60 NO,<null>,4.64,<null>,<null>,
396,2011-12-22,0,<null>,<null>,<null>,0,0,335.10 NO,320.40 NO,<null>,7.89,<null>,<null>,
396,2011-12-23,0,<null>,<null>,<null>,0,0,325.50 NO,325.50 NO,<null>,<null>,<null>,<null>,
396,2011-12-24,0,<null>,<null>,<null>,0,0,323.80 NO,324.30 NO,<null>,<null>,<null>,<null>,
396,2011-12-25,0,<null>,<null>,<null>,0,0,324.40 NO,323.60 NO,<null>,<null>,<null>,<null>,
396,2011-12-26,0,<null>,<null>,<null>,0,0,320.80 NO,323.10 NO,<null>,<null>,<null>,<null>,
396,2011-12-27,0,<null>,<null>,<null>,0,0,324.20 NO,323.90 NO,<null>,<null>,<null>,<null>,
396,2011-12-28,0,<null>,<null>,<null>,0,0,325.50 NO,325.50 NO,<null>,<null>,<null>,<null>,
396,2011-12-29,0.3,<null>,<null>,<null>,0,0,325.50 NO,323.70 NO,<null>,<null>,<null>,<null>,
396,2011-12-30,0,<null>,<null>,<null>,0,0,325.30 NO,323.60 NO,<null>,<null>,<null>,<null>,
396,2011-12-31,0,<null>,<null>,<null>,0,0,319.80 NO,322.10 NO,<null>,<null>,<null>,<null>,
396,2012-01-01,0,<null>,<null>,<null>,0,0,324.70 NO,325.60 NO,<null>,<null>,<null>,<null>,
396,2012-01-02,0,<null>,<null>,<null>,0,0,328.70 NO,305.30 O,<null>,12.85,<null>,<null>,
396,2012-01-03,0,<null>,<null>,<null>,0,0,274.10 O,292.50 O,<null>,21.65,<null>,<null>,
396,2012-01-04,0,<null>,<null>,<null>,0,0,308.80 O,318.30 NO,<null>,6.3,<null>,<null>,
396,2012-01-05,0,<null>,<null>,<null>,0,0,325.30 NO,324.70 NO,<null>,<null>,<null>,<null>,
396,2012-01-06,0,<null>,<null>,<null>,0,0,327.40 NO,326.90 NO,<null>,<null>,<null>,<null>,
396,2012-01-07,0,<null>,<null>,<null>,0,0,324.70 NO,324.10 NO,<null>,<null>,<null>,<null>,
396,2012-01-08,0,<null>,<null>,<null>,0,0,325.30 NO,324.50 NO,<null>,<null>,<null>,<null>,
396,2012-01-09,0,<null>,<null>,<null>,0,0,325.50 NO,325.00 NO,<null>,<null>,<null>,<null>,
396,2012-01-10,0,<null>,<null>,<null>,0,0,325.20 NO,324.70 NO,<null>,<null>,<null>,<null>,
396,2012-01-11,0.3,<null>,<null>,<null>,0,0,325.50 NO,324.60 NO,<null>,<null>,<null>,<null>,
396,2012-01-12,0.3,<null>,<null>,<null>,0,0,325.30 NO,323.90 NO,<null>,<null>,<null>,<null>,
396,2012-01-13,0.3,<null>,<null>,<null>,0,0,324.40 NO,323.80 NO,<null>,<null>,<null>,<null>,
396,2012-01-14,0,<null>,<null>,<null>,0,0,325.30 NO,325.10 NO,<null>,<null>,<null>,<null>,
396,2012-01-15,0,<null>,<null>,<null>,0,0,326.60 NO,327.90 NO,<null>,<null>,<null>,<null>,
396,2012-01-16,0,<null>,<null>,<null>,0,0,325.50 NO,324.00 NO,<null>,<null>,<null>,<null>,
396,2012-01-17,0,<null>,<null>,<null>,0,0,324.30 NO,323.50 NO,<null>,<null>,<null>,<null>,
